episode,length,total_reward,mpl,error_rate,robot_wage,wage_parity,completed,attempts,errors,time_hours
0,60,27.39999999999999,10.0,0.5,2.0,0.1111111111111111,1,2,1,0.1
1,60,-0.6000000000000001,0.0,1.0,-4.0,-0.2222222222222222,0,4,4,0.1
2,60,56.40000000000001,30.0,0.4,7.0,0.3888888888888889,3,5,2,0.1
3,60,59.40000000000001,20.0,0.3333333333333333,5.0,0.2777777777777778,2,3,1,0.1
4,60,-0.6000000000000001,0.0,1.0,-1.0,-0.05555555555555555,0,1,1,0.1
5,60,-0.6000000000000001,0.0,0,0.0,0.0,0,0,0,0.1
6,60,51.40000000000001,40.0,0.3333333333333333,10.0,0.5555555555555556,4,6,2,0.1
7,60,17.4,10.0,0.0,3.0,0.16666666666666666,1,1,0,0.1
8,60,59.40000000000001,50.0,0.0,15.0,0.8333333333333334,5,5,0,0.1
9,60,-0.6000000000000001,0.0,1.0,-2.0,-0.1111111111111111,0,2,2,0.1
10,60,52.40000000000001,10.0,0.5,2.0,0.1111111111111111,1,2,1,0.1
11,60,55.40000000000001,30.0,0.0,9.0,0.5,3,3,0,0.1
12,60,54.40000000000001,20.0,0.5,4.0,0.2222222222222222,2,4,2,0.1
13,60,-0.6000000000000001,0.0,1.0,-3.0,-0.16666666666666666,0,3,3,0.1
14,60,37.400000000000006,30.0,0.5,6.0,0.3333333333333333,3,6,3,0.1
15,60,13.4,10.0,0.8,-1.0,-0.05555555555555555,1,5,4,0.1
16,60,47.40000000000001,20.0,0.0,6.0,0.3333333333333333,2,2,0,0.1
17,60,56.40000000000001,20.0,0.5,4.0,0.2222222222222222,2,4,2,0.1
18,60,4.4,10.0,0.6666666666666666,1.0,0.05555555555555555,1,3,2,0.1
19,60,57.40000000000001,20.0,0.5,4.0,0.2222222222222222,2,4,2,0.1
20,60,56.40000000000001,20.0,0.5,4.0,0.2222222222222222,2,4,2,0.1
21,60,-0.6000000000000001,0.0,1.0,-2.0,-0.1111111111111111,0,2,2,0.1
22,60,53.40000000000001,20.0,0.3333333333333333,5.0,0.2777777777777778,2,3,1,0.1
23,60,-0.6000000000000001,0.0,1.0,-2.0,-0.1111111111111111,0,2,2,0.1
24,60,51.40000000000001,10.0,0.75,0.0,0.0,1,4,3,0.1
25,60,18.399999999999995,10.0,0.6666666666666666,1.0,0.05555555555555555,1,3,2,0.1
26,60,59.40000000000001,30.0,0.5714285714285714,5.0,0.2777777777777778,3,7,4,0.1
27,60,56.40000000000001,30.0,0.25,8.0,0.4444444444444444,3,4,1,0.1
28,60,36.400000000000006,30.0,0.4,7.0,0.3888888888888889,3,5,2,0.1
29,60,46.40000000000001,10.0,0.5,2.0,0.1111111111111111,1,2,1,0.1
30,60,14.4,10.0,0.75,0.0,0.0,1,4,3,0.1
31,60,51.40000000000001,20.0,0.5,4.0,0.2222222222222222,2,4,2,0.1
32,60,4.4,10.0,0.75,0.0,0.0,1,4,3,0.1
33,60,8.4,20.0,0.5,4.0,0.2222222222222222,2,4,2,0.1
34,60,17.4,40.0,0.2,11.0,0.6111111111111112,4,5,1,0.1
35,60,11.4,20.0,0.5,4.0,0.2222222222222222,2,4,2,0.1
36,60,-0.6000000000000001,0.0,1.0,-1.0,-0.05555555555555555,0,1,1,0.1
37,60,55.40000000000001,20.0,0.5,4.0,0.2222222222222222,2,4,2,0.1
38,60,21.39999999999999,20.0,0.5,4.0,0.2222222222222222,2,4,2,0.1
39,60,42.400000000000006,30.0,0.25,8.0,0.4444444444444444,3,4,1,0.1
40,60,52.40000000000001,40.0,0.0,12.0,0.6666666666666666,4,4,0,0.1
41,60,51.40000000000001,20.0,0.6666666666666666,2.0,0.1111111111111111,2,6,4,0.1
42,60,-0.6000000000000001,0.0,1.0,-2.0,-0.1111111111111111,0,2,2,0.1
43,60,55.40000000000001,10.0,0.6666666666666666,1.0,0.05555555555555555,1,3,2,0.1
44,60,43.40000000000001,30.0,0.5714285714285714,5.0,0.2777777777777778,3,7,4,0.1
45,60,-0.6000000000000001,0.0,1.0,-1.0,-0.05555555555555555,0,1,1,0.1
46,60,-0.6000000000000001,0.0,1.0,-1.0,-0.05555555555555555,0,1,1,0.1
47,60,25.39999999999999,10.0,0.5,2.0,0.1111111111111111,1,2,1,0.1
48,60,14.4,20.0,0.5,4.0,0.2222222222222222,2,4,2,0.1
49,60,52.40000000000001,20.0,0.0,6.0,0.3333333333333333,2,2,0,0.1
